time,open,high,low,close,volume
2024-12-12 21:00:00+09:00,2.4091,2.4104,2.4085,2.4085,1134635.0
2024-12-12 21:01:00+09:00,2.4085,2.4093,2.4048,2.4092,640656.5
2024-12-12 21:02:00+09:00,2.4092,2.4093,2.4063,2.4082,622395.2
2024-12-12 21:03:00+09:00,2.4082,2.4094,2.4054,2.4065,1074988.7
2024-12-12 21:04:00+09:00,2.4065,2.4099,2.4063,2.4081,612197.4
2024-12-12 21:05:00+09:00,2.4080,2.4080,2.4043,2.4044,1251322.7
2024-12-12 21:06:00+09:00,2.4045,2.4057,2.4039,2.4043,513904.1
2024-12-12 21:07:00+09:00,2.4042,2.4055,2.4021,2.4026,931486.0
2024-12-12 21:08:00+09:00,2.4026,2.4059,2.4017,2.4059,739210.9
2024-12-12 21:09:00+09:00,2.4059,2.4076,2.4056,2.4065,587930.2
2024-12-12 21:10:00+09:00,2.4064,2.4099,2.4058,2.4092,757967.5
2024-12-12 21:11:00+09:00,2.4092,2.4103,2.4077,2.4091,723122.9
2024-12-12 21:12:00+09:00,2.4090,2.4098,2.4075,2.4075,632901.5
2024-12-12 21:13:00+09:00,2.4075,2.4100,2.4074,2.4100,287264.3
2024-12-12 21:14:00+09:00,2.4100,2.4160,2.4100,2.4148,2131390.0
2024-12-12 21:15:00+09:00,2.4148,2.4151,2.4118,2.4119,1253984.0
2024-12-12 21:16:00+09:00,2.4118,2.4152,2.4110,2.4148,742097.4
2024-12-12 21:17:00+09:00,2.4148,2.4175,2.4143,2.4161,995251.0
2024-12-12 21:18:00+09:00,2.4162,2.4174,2.4141,2.4154,844292.5
2024-12-12 21:19:00+09:00,2.4154,2.4158,2.4141,2.4145,454949.7
2024-12-12 21:20:00+09:00,2.4145,2.4150,2.4125,2.4147,620673.7
2024-12-12 21:21:00+09:00,2.4147,2.4216,2.4146,2.4205,1495486.7
2024-12-12 21:22:00+09:00,2.4204,2.4212,2.4158,2.4177,1263351.2
2024-12-12 21:23:00+09:00,2.4176,2.4200,2.4172,2.4177,500634.4
2024-12-12 21:24:00+09:00,2.4177,2.4199,2.4174,2.4190,513309.9
2024-12-12 21:25:00+09:00,2.4190,2.4191,2.4148,2.4155,656573.3
2024-12-12 21:26:00+09:00,2.4154,2.4170,2.4146,2.4155,478294.0
2024-12-12 21:27:00+09:00,2.4155,2.4162,2.4124,2.4128,975139.5
2024-12-12 21:28:00+09:00,2.4127,2.4138,2.4107,2.4117,794146.5
2024-12-12 21:29:00+09:00,2.4117,2.4156,2.4117,2.4126,517241.1
2024-12-12 21:30:00+09:00,2.4125,2.4149,2.4125,2.4140,970120.0
2024-12-12 21:31:00+09:00,2.4141,2.4150,2.4088,2.4102,1116348.1
2024-12-12 21:32:00+09:00,2.4102,2.4111,2.4088,2.4098,573062.7
2024-12-12 21:33:00+09:00,2.4097,2.4150,2.4090,2.4139,885069.8
2024-12-12 21:34:00+09:00,2.4139,2.4176,2.4136,2.4173,936722.7
2024-12-12 21:35:00+09:00,2.4173,2.4204,2.4168,2.4184,697558.2
2024-12-12 21:36:00+09:00,2.4183,2.4184,2.4160,2.4164,577975.8
2024-12-12 21:37:00+09:00,2.4163,2.4201,2.4154,2.4194,870092.1
2024-12-12 21:38:00+09:00,2.4194,2.4200,2.4178,2.4188,1080462.5
2024-12-12 21:39:00+09:00,2.4189,2.4224,2.4185,2.4208,904809.7
2024-12-12 21:40:00+09:00,2.4208,2.4210,2.4186,2.4201,545330.9
2024-12-12 21:41:00+09:00,2.4202,2.4209,2.4173,2.4188,614180.4
2024-12-12 21:42:00+09:00,2.4188,2.4190,2.4139,2.4140,1109305.6
2024-12-12 21:43:00+09:00,2.4139,2.4166,2.4135,2.4150,648840.7
